Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,1.0,12,34.0,Jim Roper,Mecklenburg Motors (R.B. McIntosh),'49 Lincoln,197,2000.0,running,47.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,2.0,5,47.0,Fonty Flock,Grady Cole / Bruce Griffin,'49 Hudson,–,1000.0,running,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,3.0,3,22.0,Red Byron,Parks Novelty (Raymond Parks),'49 Oldsmobile,–,500.0,running,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,4.0,14,2.0,Sam Rice,Rice Racing (Sam Rice),'49 Oldsmobile,–,300.0,running,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,5.0,2,90.0,Tim Flock,Buddy Elliott,'49 Oldsmobile,–,200.0,running,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,6.0,–,37.0,Archie Smith,Frank Smith,'46 Ford,–,175.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,7.0,–,31.0,Sterling Long,Long Racing (Sterling Long),'46 Hudson,–,150.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,8.0,–,28.0,Slick Smith,Slick Smith,'49 Oldsmobile,–,125.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,9.0,6,41.0,Curtis Turner,Curtis Turner,'46 Buick,–,100.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,10.0,–,36.0,Jimmy Thompson,Bruce Thompson,'46 Chrysler,–,75.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,11.0,–,87.0,Buck Baker,Penny Mullis,'48 Kaiser,–,50.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,12.0,8,44.0,Bill Blair,R.B. McIntosh,'49 Lincoln,150,50.0,overheating,145.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,13.0,–,52.0,Jack Smith,Bishop Brothers,'48 Ford,–,50.0,overheating,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,14.0,13,71.0,Sara Christian,Frank Christian,'47 Ford,–,50.0,overheating,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,15.0,–,,John Barker,–,'47 Kaiser,–,50.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,16.0,–,0.0,Jimmie Lewallen,Jimmie Lewallen,'46 Ford,–,25.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,17.0,9,38.0,Lee Petty,Gilmer Goode,'48 Buick,105,25.0,crash,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,18.0,–,11.0,Skimp Hersey,Skimp Hersey,'47 Ford,–,25.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,19.0,–,25.0,Bob Smith,Lane's Motor Co.,'49 Oldsmobile,–,25.0,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,20.0,4,19.0,Otis Martin,Pee Wee Martin,'48 Ford,–,25.0,overheating,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,21.0,–,37.0,Frank Smith,Smith Racing (Frank Smith),'47 Chrysler,–,,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,22.0,–,16.0,Bill Snowden,Snowden Racing (Bill Snowden),'48 Mercury,–,,overheating,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,23.0,–,60.0,Jim Paschal,Jim Paschal,'46 Ford,–,,overheating,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,24.0,–,1.0,B.E. Renfro,B.E. Renfro,'49 Hudson,–,,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,25.0,–,10.0,Fred Johnson,Fred Johnson,'47 Ford,–,,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,26.0,–,88.0,George Mantooth,George Mantooth,'47 Ford,–,,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,27.0,–,5.0,Felix Wilkes,Felix Wilkes,'49 Lincoln,–,,overheating,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,28.0,10,9.0,Pee Wee Martin,Pee Wee Martin,'49 Oldsmobile,–,,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,29.0,–,93.0,Herb Thomas,Thomas Racing (Herb Thomas),'47 Ford,–,,springs,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,30.0,–,4.0,Frank Mundy,Sam Rice,'49 Cadillac,–,,rf spindle,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,31.0,–,29.0,Clarence Benton,Clarence Benton,'49 Ford,–,,–,0.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,32.0,1,7.0,Bob Flock,Davis Brothers,'46 Hudson,38,,engine,5.0
1949,1,Charlotte,Charlotte Speedway,0.75,dirt track,33.0,7,25.0,Glenn Dunaway,Hubert Westmoreland,'47 Ford,200,,disqualified,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,1.0,2,22.0,Red Byron,Parks Novelty (Raymond Parks),'49 Oldsmobile,40,2000.0,running,6.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,2.0,–,90.0,Tim Flock,Buddy Elliott,'49 Oldsmobile,40,1000.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,3.0,–,5.0,Frank Mundy,Sam Rice,'49 Oldsmobile,40,500.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,4.0,4,7.0,Joe Littlejohn,Frank Christian,'49 Oldsmobile,40,300.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,5.0,5,44.0,Bill Blair,Cox Motor Co. (R.B. McIntosh),'49 Lincoln,40,200.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,6.0,–,37.0,Frank Christian,Frank Christian,'49 Oldsmobile,–,175.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,7.0,–,16.0,Bill Snowden,Bill Snowden,'49 Mercury,–,150.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,8.0,1,50.0,Gober Sosebee,Leon Chester,'49 Oldsmobile,–,125.0,running,34.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,9.0,–,36.0,Jimmy Thompson,Bruce Thompson,'47 Chrysler,–,100.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,10.0,–,15.0,Jack Etheridge,Jack Etheridge,'49 Mercury,–,75.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,11.0,–,91.0,Ethel Mobley,Charles Mobley,'48 Cadillac,–,50.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,12.0,–,9.0,Herb Thomas,Herb Thomas,'49 Ford,–,50.0,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,13.0,–,29.0,Slick Smith,Buddy Helms,'48 Buick,–,50.0,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,14.0,6,6.0,Marshall Teague,Bill Appleton,'49 Hudson,–,50.0,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,15.0,3,8.0,Billy Carden,David Chester,'47 Ford,–,50.0,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,16.0,–,30.0,Howard Elder,Harold Elder,'47 Ford,–,25.0,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,17.0,–,12.0,Woodie Wilson,Woodie Wilson,'49 Mercury,–,25.0,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,18.0,–,17.0,Sara Christian,Ruby Flock,'49 Ford,–,25.0,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,19.0,–,47.0,Fonty Flock,Gene Horne,'49 Hudson,–,25.0,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,20.0,–,94.0,Louise Smith,Louise Smith,'47 Ford,25,25.0,running,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,21.0,–,71.0,Buckshot Morris,Frank Christian,'47 Ford,–,,crash,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,22.0,–,14.0,Bob Flock,Parks Novelty (Raymond Parks),'48 Ford,–,,shocks,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,23.0,–,87.0,Buck Baker,Buzzy Boehmen,'47 Kaiser,–,,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,24.0,–,34.0,Sam Marshall,Jax Hudson (Sam Marshall),'49 Hudson,–,,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,25.0,–,41.0,Curtis Turner,Curtis Turner,'48 Buick,–,,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,26.0,–,10.0,Fred Johnson,Fred Johnson,'47 Ford,–,,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,27.0,–,64.0,Benny Georgeson,Benny Georgeson,'49 Buick,–,,–,0.0
1949,2,Daytona Beach,Beach & Road Course,4.15,road course,28.0,–,35.0,Glenn Dunaway,Glenn Dunaway,'49 Lincoln,–,,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,1.0,1,7.0,Bob Flock,Bob Flock Garage (Frank Christian),'48 Oldsmobile,200,2000.0,running,200.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,2.0,–,50.0,Gober Sosebee,Cherokee Garage (Leon Chester),'49 Oldsmobile,–,1000.0,running,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,3.0,–,55.0,Glenn Dunaway,Glenn Dunaway,'49 Oldsmobile,–,500.0,running,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,4.0,–,47.0,Fonty Flock,Ed Lawrence,'47 Buick,–,300.0,running,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,5.0,–,3.0,Bill Snowden,Al Wagoner,'49 Chevrolet,–,200.0,running,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,6.0,–,44.0,Bill Blair,R.B. McIntosh,'49 Oldsmobile,–,175.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,7.0,–,90.0,Tim Flock,Buddy Elliott,'49 Oldsmobile,190,150.0,spindle,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,8.0,–,19.0,Otis Martin,Pee Wee Martin,'48 Ford,–,125.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,9.0,–,42.0,Lee Petty,Petty Enterprises,'49 Plymouth,–,100.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,10.0,–,28.0,Buddy Helms,Buddy Helms,'47 Hudson,–,75.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,11.0,–,21.0,Bobby Green,Bobby Greene,'48 Ford,–,50.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,12.0,–,8.0,J.D. Edwards,–,'46 Hudson,–,50.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,13.0,–,11.0,Bob Apperson,Bob Apperson,'47 Ford,–,50.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,14.0,–,37.0,Frank Smith,Frank Smith,'47 Chrysler,–,50.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,15.0,–,34.0,Jim Roper,Millard Clothier,'49 Lincoln,–,50.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,16.0,–,6.0,Bill Harrison,R.B. McIntosh,'49 Lincoln,–,25.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,17.0,–,1.0,B.E. Renfro,B.E. Renfro,'49 Hudson,–,25.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,18.0,–,12.0,Garland Smith,–,'48 Ford,–,25.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,19.0,–,17.0,Jim Carrusso,Jim Carrusso,'48 Nash,–,25.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,20.0,–,41.0,Curtis Turner,Curtis Turner,'46 Buick,–,25.0,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,21.0,–,25.0,Bob Smith,Lane's Motor Co.,'49 Oldsmobile,–,,crash,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,22.0,–,22.0,Red Byron,Parks Novelty (Raymond Parks),'49 Oldsmobile,39,,crash,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,23.0,–,71.0,Sara Christian,Frank Christian,'47 Ford,38,,crash,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,24.0,–,5.0,Felix Wilkes,Felix Wilkes,'49 Lincoln,38,,crash,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,25.0,–,2.0,Jimmie Lewallen,Sam Rice,'49 Lincoln,–,,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,26.0,–,92.0,Herb Thomas,Herb Thomas,'47 Ford,–,,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,27.0,–,94.0,Louise Smith,Smith Auto Parts (Louise Smith),'47 Ford,–,,–,0.0
1949,3,Hillsboro,Occoneechee Speedway,1.0,dirt track,28.0,–,31.0,Sterling Long,Sterling Long,'46 Hudson,–,,–,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,1.0,11.0,41.0,Curtis Turner,Hubert Westmoreland,'49 Oldsmobile,200,2250.0,running,60.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,2.0,6.0,7.0,Bob Flock,Bob Flock Garage (Frank Christian),'49 Oldsmobile,200,1000.0,running,52.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,3.0,1.0,22.0,Red Byron,Parks Novelty (Raymond Parks),'49 Oldsmobile,199,800.0,running,15.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,4.0,33.0,44.0,Frank Mundy,Sam Rice,'49 Cadillac,196,500.0,running,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,5.0,4.0,46.0,Bill Blair,Sam Rice,'49 Cadillac,196,350.0,running,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,6.0,21.0,71.0,Sara Christian,Frank Christian,'49 Oldsmobile,190,300.0,running,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,7.0,25.0,42.0,Lee Petty,Petty Enterprises,'49 Plymouth,188,250.0,running,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,8.0,22.0,89.0,Al Keller,W.O. Taylor,'49 Ford,185,200.0,running,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,9.0,17.0,6.0,Al Bonnell,Don Rogala,'48 Oldsmobile,183,150.0,running,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,10.0,34.0,52.0,Lou Volk,–,'47 Buick,182,125.0,running,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,11.0,41.0,61.0,Bill Bennett,Bill Bennett,'49 Kaiser,181,100.0,tire,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,12.0,30.0,39.0,Budd Olsen,Walt Frank,'49 Mercury,180,75.0,running,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,13.0,26.0,14.0,Dick Zimmermann,Don Gallagher,'47 Mercury,178,50.0,running,0.0
1949,4,Langhorne,Langhorne Speedway,1.0,dirt track,14.0,23.0,59.0,Bill Rexford,Julian Buesink,'49 Ford,177,50.0,running,0.0
